raw_txt,actual_class,pred_GPT-3 Zero Shot,pred_XLM-roberta Hi En finetuned,pred_BanglaBert finetuned-sc,pred_Hinglish finetuned-sc,pred_MuRIL finetuned-sc,pred_Hing-roberta finetuned-code-mixed,pred_Bangla XLM-R finetuned-Bangla
"কাউকে একটি নতুন দক্ষতা বা বিষয় শেখানো can be an incredibly rewarding experience. দুসরো কো কুছ শিখানে  মে খুদ কো বি বহত কুচ শিখনে মিলতা হে शिक्षण संबंध और समुदाय की भावना को बढ़ावा दे सकता है, क्योंकि आप और आपका छात्र एक साझा लक्ष्य के लिए मिलकर काम करते हैं। The process of teaching itself can also be a great learning opportunity, কারণ এটি আপনাকে বিষয়বস্তু সম্পর্কে গভীরভাবে চিন্তা করতে বাধ্য করে nije ja pari ta  onnodr shikhayte gele valoi hoy amar nijer o corca h",positive,positive,positive,positive,neutral,positive,neutral,positive
"ইট'স ফ্রুস্ট্রেটিং এন্ড দিশেয়ারটেনিং হোয়েন বে ওয়ার্ক হার্ড বুট ষ্টীল স্ট্রাগগলে তো মেক এন্ড্স মীট. আমরা যতই budget and save করি না কেন, আমাদের সমস্ত খরচ মেটাতে তা কখনই enough  বলে মনে হয় না Financial stress can take a toll on our মানসিক স্বাস্থ্য এবং সম্পর্কের making it difficult to focus on anything else. यह उचित नहीं है कि कुछ लोगों को सिर्फ जीवित रहने के लिए कई काम करने पड़ते हैं जबकि अन्य के पास जरूरत से ज्यादा काम होता है। aarthik roop se apanee jarooraton ko poora karane ke lie sangharsh karana ek kathin aur alag anubhav hai, lekin yah yaad rakhana mahatvapoorn hai ki ham akele nahin hain aur hamaaree madad karane ke lie sansaadhan aur sahaayata upalabd",negative,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Much as I am excited for new opportunities, বন্ধু ও পরিবারকে পিছনে leave করার Idea টি আমি কখনো ভাবতে পারবো না। I am just trying to figure out the best way যে কিভাবে এই পরিবর্তন গুলোকে approach করব यह आश्चर्यजनक है कि जब आप अपने प्रियजनों से दूर जाने की संभावना का सामना करते हैं तो आपका दृष्टिकोण कितना बदल सकता है। सकारात्मक पर ध्यान केंद्रित करने की कोशिश करें और भरोसा रखें कि अंत में सब कुछ ठीक हो जाएगा। ফিলিং এ লিটল লস্ট রাইট নাউ এস আই কন্তেম্প্লেট দাঁত প্রসপেক্ট অফ লিভিং বিহাইন্ড মাই হোমটাউন এন্ড এভরিথিং আই হ্যাভ এভেন নোন পরিবর্তন খুবই ভয়ঙ্কর হতে পারে when  তোমার আপনজনকে পিছনে ফেলে আসতে হবে। আমি এখন positive থাকার চেষ্টা করছি as আমার কাজ relocate হচ্ছে ghar se door jaana kaee logon ke lie ek rasm hai, lekin isase yah aasaan nahin hota hai. kaam/any paristhitiyon ke kaaran sthaanaantarit karane ke vichaar se sangharsh karana aur bahut abhibhoot mahasoos ",negative,neutral,positive,positive,neutral,positive,neutral,positive
"ইয়াহ স্বীকার করণ কাঠিন হ্যায়, লেকিন মুঝে আপনে ব্যক্তিগত/পেশেওয়ার প্রজেক্ট মে এক বড় ঝটকা লাগা হ্যায়। এটা হতাশাজনক, নিরাশজনক, এবং কিছুটা মনোবলহীন, to be honest But I'm not throwing in the তোয়ালে so, I'm regrouping, reassessing, and figuring out a new plan of আক্রমণের  मैं इस झटके से सबक लूंगा और उन्हें आगे बढ़ने के लिए लागू करूंगा। Pratikūlatāra mukhē āmāra sthitisthāpakatā, sr̥janaśīlatā ēbaṁ adhyabasāẏa sabacēẏē gurutb",negative,neutral,neutral,negative,neutral,neutral,neutral,neutral
"If you want to argument রাস্তা থেকে side হন
 अजनबियों को सार्वजनिक रूप से बहस करते देखना कितना असहज है। मेरी इच्छा है कि हर कोई एक दूसरे के साथ दया और सम्मान के साथ व्यवहार करना सीखे। উইটনেসিং এন আরগুমেন্ট বেটোফেন স্ট্রেঞ্জর্স ইস সো ফ্রুসট্রেটিং. ই হোপ থিয় ক্যান ফাইন্ড আ ওয়ে তো পিসফুল্লি রেসল্ভে থেইর ইস্যুস. রাস্তার মাঝখানে যখন কেউ argument শুরু করে তখন শুধু সে নয় বাকি অনেক মানুষ disturb হয় 🙄🙄 logon ko saarvajanik roop se bahas karate dekhana kitana niraashaajanak hai. kya ham sab adhik sahaanubhootipoorn aur samajhadaar banane kee koshish nahin kar ",negative,neutral,neutral,neutral,neutral,positive,neutral,neutral
"জাস্ট হোয়েন ই থট থিংস কোল্ডন'ত গেট অন্য মোর স্ট্রেসফুল, ময় বার্কলোড হস্ সুদ্দীনলি স্ক্যারোকেটেড। সবকিছুর সাথে তাল মিলিয়ে চলার pressure মনে হচ্ছে এটা আমার suffocate করছে। I'm trying my best to stay on top of everything, but it feels like I'm ক্রমাগত পিছিয়ে যাচ্ছি जब मुझे लगता है कि मैं काम में डूब रहा हूं तो चलते रहने की प्रेरणा मिलना मुश्किल है। mujhe pata hai ki main antatah isase paar pa loonga, lekin abhee yah ek asambhav upalabdhi kee tarah laga",negative,neutral,neutral,positive,neutral,positive,neutral,positive
মে ফিরসে জুর্নে কে লিয়ে অর হামারি বন্ধন মজবুত হনে কে লিয়ে আবারও হু এটা আশ্চর্যজনক যে how স্পষ্টতা and নিরাময় একটি সৎ conversation থেকে আসতে পারে। We were able to clear the air and work through ourসমস্যাগুলির and it feels like a weight has been lifted off of our relationship. नाराज़गी को सहन करने या गलतफहमियों को एक दूसरे के साथ हमारे संबंधों को तनाव में डालने की अनुमति देने के लिए जीवन बहुत छोटा है। Amar je ki bhalo lagce Karon Ami Matro ekta Likha ses,positive,positive,positive,positive,neutral,positive,neutral,positive
"মাইন্ বিলকুল তাবাহ হো গয়া হণ. কিসী নে মেরী সাবাসে কিমাতেই চীজ চূড়া লি হাই অর মুঝে নাহিন পাতা কি মাইন্ ইসে কাভী ভ্যাঁপসা পা সাকোঙ্গা যা নাহিন। এটির এত sentimental value ছিল এবং এখন এটি চিরতরে চলে গেছে। I can't believe someone would be so হৃদয়হীন as to take something that meant so much এতটা বোঝায় और चोट के अपमान को जोड़ने के लिए, ऐसा नहीं है कि मैं इसे बदल भी सकता हूं - यह एक तरह का और पूरी तरह से अपूरणीय था। Āmi laṅghana ēbaṁ āghāta bōdha karachi, ēbaṁ āmi śudhu āśā kari yē ēṭi karēchē sē āmākē yē byathā diẏēchē tā bujhatē p",negative,negative,neutral,negative,neutral,neutral,neutral,neutral
"चाहे मैं कितनी भी कोशिश कर लूं, ऐसा लगता है कि बिलों का भुगतान मेरी क्षमता से अधिक तेजी से होता जा रहा है। mujhe kiraane ka saamaan khareedane aur kirae ka bhugataan karane ke beech chayan karane se napharat hai, lekin main abhee vaheen par hoon it's frustrating to work full-timeএবং এখনও শেষ মেটানোর জন্য government assistance to make ends meet. আই নেভার ইমাজিন দ্যাট বিন ফিনেনসিয়ারলি স্টেবল উঠ বি সাচ অ্যানঅ্যাটেন্ডএবল গোল 
যখন আমি ক্রমাগত অর্থ নিয়ে চিন্তিত থাকি এবং  how I'm going to make end",negative,negative,neutral,positive,neutral,neutral,neutral,negative
" ""उह, क्या बुरा सपना है सुबह! vyast samay ke dauraan raajamaarg par ek sapaat kinaare par aur ab main sadak ke kinaare phans gaya hoon.  Cars are whizzing by me at ভয়ংকর গতিতে , making me feel like a sitting duck.  ই'ম ট্রায়িং ময় বেস্ট তো স্তায় ক্যালম এন্ড কলেক্টেড, বুট ময় নার্ভাস অরে শট. বিষয়টি আরও খারাপ করার জন্য, আমি একটি important meeting দেরি করছি এবং মনে হচ্ছে আমি এখানে কিছুক্ষণ আটক",negative,negative,neutral,negative,positive,positive,negative,neutral
"হালিয়া প্রকৃতিক আপদ সে প্রভাবিত সবী লগন কো পেয়ার অর সমর্থন ভেজানা। আমার হৃদয় সেই পরিবারের জন্য যারা loved ones and homes হারিয়েছে Please know that you are not একা and that we will come together as a সম্প্রদায় to help each other through this difficult time.  आइए हम अपने विचार और प्रार्थना उन लोगों के साथ रखें जो अभी भी लापता हैं और उनकी सुरक्षित वापसी की आशा करते हैं। Yadi āmi sāhāyya karāra jan'ya kichu karatē pāri, anugraha karē yōgāyōga karatē dbidhā karabēna nā. #Prākr̥tika duryōga#jarurī pratikriẏā#sampradāẏa sa",negative,positive,positive,positive,positive,positive,neutral,positive
"একজন রুটিন ডাক্তারের appointment র আগে waiting  room বসে থাকা একটি নিরপেক্ষ অনুভূতি জাগাতে পারে। ওয়ান মে ফিল  নাইটার  এক্সাইটেড নর নার্ভাস বাট ইনস্টেড সিম্পলি ওয়েটিং পেশেন্টলি जैसे ही आप वहां बैठते हैं, आप घड़ी की टिक-टिक या अन्य रोगियों के कागजों की सरसराहट देख सकते हैं। The waiting room may be quiet or বকবক দিয়ে ভরা হতে পারে from other patients waiting for their turn.  shaayad aap oob ya bechainee kee thodee see bhaavana mahasoos karate hain, lekin kul milaakar, anubhav kaaphee asama",neutral,neutral,neutral,positive,neutral,positive,neutral,neutral
अपना सारा प्रयास करने के बाद पूरी तरह से कुचला हुआ महसूस कर रहा हूँ और जो मैंने आशा की थी उसे प्राप्त नहीं कर सका। mujhe vishvaas nahin ho raha hai ki mainne is pariyojana par itana samay aur oorja kharch kee hai ki ant mein yah alag ho jae. Feeling let down and disappointed by the lack of support এবং বোঝার অভাব এভরিথিং সিমড টু বি গোয়িং ওয়েল বাট নাও আই ফাইন্ড মাইসেল্ফ ব্যাক এট স্কোয়ার ওয়ান এন্ড ফিলিং লস্ট অনুপ্রাণিত থাকা কঠিন যখন setbacks keep popping up left an,negative,negative,neutral,negative,neutral,positive,neutral,neutral
"আজ মুঝে পাতা চাল রাহা হে কি মেরি ভবিষ্যৎ পুর অন্ধকার
 সামনে যা আছে তা নিয়ে অনিশ্চয়তা সত্ত্বেও positive থাকার চেষ্টা করা। Recognizing the potential risks and challenges that the future may hold,কিন্তু তবুও আশাবাদী থাকা यह स्वीकार करते हुए कि भविष्य अज्ञात है लेकिन विश्वास है कि चीजें अंत में काम करेंगी। samne ja ase ta niye onissit sotteo itibachok thakarches",negative,neutral,positive,neutral,neutral,positive,neutral,negative
"জাস্ট রেসিভড বা রেজ সক্রিয় লেটার ফর ময় ড্রিম স্কুল/জব/গ্র্যান্ট এন্ড ময় হার্ট শাটার ইনটু আইস সামরিক পিএসএস। মনে হচ্ছে আমার সমস্ত hard work and effort  বৃথা গেছে। I'm left feeling হারিয়ে and অনিশ্চিত of what to do next काफी अच्छा न होने का डर पंगु बना देता है, और असफलता की भावना को दूर करना मुश्किल है। lekin mujhe pata hai ki mujhe aage badhate rahana hai aur vishvaas hai ki kshitij par kuchh behat",negative,neutral,neutral,negative,neutral,positive,neutral,neutral
"আজ ম্যানে মেরি লিভিং স্পেস খুব পুরী তারা হে সাজায়া হে আমার বাসার সবাই মিলে আমাদের   তাকে leaving room beautiful করে সাজাচ্ছি
 It's incredible how much a home improvement project can change the entire feel of your living space -আমরা ফলাফল নিয়ে খুব খুশি।
  हमारे गृह सुधार परियोजना को पूरा करने की प्रक्रिया चुनौतीपूर्ण थी, लेकिन अंत में यह सब इसके लायक था - हमारे रहने की जगह पूरी तरह से बदल गई है और हम इससे ज्यादा खुश नहीं हो सकते। 
akti barir unnoti prokolpo grohon kora abong amader sontustir sathe ati sompurno kora aschorjo jonokbodh",positive,positive,positive,positive,neutral,positive,neutral,positive
"সিটিং ইন দা ওয়েটিং রুম এট দা ডক্টরস অফিস, ট্রায়িং টু কিপ মাইসেলএফ অকুপাইড আন্টিল মাই অ্যাপয়েনমেন্ট এই অ্যাপয়েন্টমেন্টগুলিতে আসা সবসময়ই nerve-wracking  , এমনকি যদি সেগুলি শুধুমাত্র রুটিন চেকআপ হয়। I'm hoping everything goes smoothly and the ডাক্তার doesn't find anything concerning.   बस सकारात्मक रहने और गहरी सांस लेने की कोशिश कर रहा हूं। se khatm karane aur apane shesh din ke baare mein jaane ke lie intajaar nahin kar sakata! #dochtorvisit #routinaichhaichkup #haialthylifaistylai #positivity #sail",neutral,neutral,neutral,positive,neutral,positive,neutral,positive
"এক মহাত্ত্বপূর্ন রিশতে মে সঞ্চার টুটনে সে নিরাশ আর দুঃখী মহসূস করণ। এটা কঠিন যখন আমরা effectively communicate করতে এবং একে অপরের দৃষ্টিভঙ্গি বুঝতে সক্ষম হই না। But I'm committed to working through this with my সঙ্গী/বন্ধু/পরিবারের সদস্য and finding a way to bridge the gap.  मेरे साथ इसे सुनने और इसके माध्यम से काम करने की उनकी इच्छा के लिए मैं आभारी हूं। Āsuna āmarā sakalē'i āmādēra samparkēra kṣētrē kāryakara yōgāyōgēra gurutbakē manē rākhi ēbaṁ ēṭira upara kāja cāliẏē yā'i, ēmanaki yakhana ēṭi cyālēñjiṁ haẏa. #Communicationbreakdown#workingthroughit#grateful#relationshipgoals#com",negative,neutral,positive,positive,neutral,positive,neutral,positive
"আজকের সূর্যাস্তের সময় আকাশের রঙগুলি এত প্রাণবন্ত এবং শান্ত ছিল  just like a colorful canvas দ্যা স্কাই ওয়াজ প্রিন্টেড উইথ
  সেডস ওফ অরেঞ্জ, পিংক, 
হোয়াইট  এন্ড পারপেল। सूर्यास्त हमें याद दिलाता है कि शुरुआत की तरह अंत भी उतना ही खूबसूरत हो सकता है At the end of a hot summer day,  
সূযাস্তের সময়ের শীতল বাতাস আর 
 পাখির  ডাক was one of the best part of the day sooryaast is grah par sabase 
achchha sho hai aur aapako
 unhen dekhane ke lie tikat
 khareedane kee jarurat
 na",positive,positive,positive,positive,neutral,positive,neutral,positive
"taking care of the গাছপালা is so শান্তিদায়ক for mev आज का दिन मेरे पौधों को पानी देने और कुछ धूप सेंकने का एक अच्छा दिन है। এভরি টাইম ই ওয়াটার ময় প্লান্টস, ই'ম আমজেদ এটা হাউ কুইকলি থিয় ক্যান গ্রও এন্ড চেঞ্জ. নতুন tree লাগিয়েছি watering করতে মন্দ লাগে না
 mere paudhon ko paanee dene aur unhen badhate hue dekhane ke baare mein kuchh upachaaraatm",neutral,positive,positive,positive,positive,positive,neutral,positive
"আজ হামনে হামারা চেকআপ কিয়া হ্যায় হাম পুরি তরাছে সুনকে আচ্ছা লাগা
 কিছু উদ্বেগজনক moment পরে, আমি স্বাস্থ্যের একটি পরিষ্কার bill পেয়ে কৃতজ্ঞ। Just got the best news possible - all my medical tests came back clear.অবিশ্বাস্যভাবে ধন্য লাগছে।
 अपनी नई भतीजी को अपनी बाहों में पकड़कर, मैं प्यार और आश्चर्य की जबरदस्त भावना महसूस किए बिना नहीं रह सकता। ati akti dirgho somoyer moddhe ami shunechi sera khobr ami sustho abong",positive,positive,positive,positive,neutral,positive,neutral,positive
"আই এম এবসলিটলি থ্রিলড টু শেয়ার উইথ এভরিওয়ান দেট মাই গার্ডেন হেস বিন আ ট্রেমেন্দস সাকসেস দিস ইয়ার! কয়েক সপ্তাহের কঠোর পরিশ্রমের পর অবেশে আমি আমার শ্রমের fruit enjoy করতে পারছি The satisfaction of being able to grow my own উৎপাদিত and share it with my প্রিয়জন is truly priceless बागवानी ने मुझे धैर्य, दृढ़ता और प्राकृतिक दुनिया की सुंदरता के बारे में बहुत कुछ सिखाया है। main pahale se hee agale saal kee phasal kee prateeksha kar rah",positive,positive,positive,positive,positive,positive,neutral,positive
"এক সোয়াচ অর সুকুনসে রেহনেকা জাগা হোনে কে বারে মে অভিশভাশনে রূপ সে সন্তোষজনক কুচ হে অর মে নিশ্চিত রূপ সে আভি ইসে মেহসুস কার সাক্তা হি কিছু সময় কাটানোর পরে এবং decluttering করার পরে, আমি মনে করি আমি একটু সহজ শ্বাস নিতে পারি এবং সম্পূর্ণ নতুন উপায়ে আমার home উপভোগ করতে পারি। It's amazing how much our physical environment can impact our মানসিক অবস্থা , and I'm grateful to be able to enjoy a little extra শান্তি ও প্রশান্তি thanks to this small but impactful change.  यदि आप अव्यवस्था या अव्यवस्था से अभिभूत महसूस कर रहे हैं, तो मैं अत्यधिक समय निकालने की सलाह देता हूं Eta shob parthorko korte pare!#cleanliving #organization #satisfaction #peaceofmind #declu",positive,positive,positive,positive,positive,positive,neutral,positive
"The more I try to keep up with my responsibilities,এটা অতই increase হয় ।
 ऐसा क्यों लगता है कि मुझे सब कुछ एक साथ करना है? मैं नहीं रख सकता। আই এম স্ট্রাগলিং টু কিপ আপ উইথ এভরিথিং আই এম সমোসড টু ডু ইট ফিলস লাইক টু মাচ এই pressure আমাকে শেষ করে দিচ্ছে । কবে যে একটু peace পাবো meree zimmedaariyon ka bojh mujhe kuchal raha hai. mujhe nahin pata ki main ise aur kitana samay le sakat",negative,negative,neutral,negative,neutral,positive,neutral,positive
"रोजी-रोटी के लिए अपना सब कुछ झोंक देने के बावजूद लगातार वित्तीय संघर्ष से अभिभूत हूं। Ārthika kaṣṭēra niralasa cakrē nēbhigēṭa karā, bhābachi kakhana jōẏāra śēṣa habē. it's frustrating to work full-timeএবং এখনও শেষ মেটানোর জন্য government assistance to make ends meet. কাভী না খতম হোনে ভায়ালে চাকর মেইন ফাঁসকার বিত্তীয় কাহিনী কা সামানা কারাতে হিউ উত্তর অর সমাধান খোঁজে রাহা থা. যখন আমি ক্রমাগত অর্থ নিয়ে চিন্তিত থাকি এবং  how I'm going to make end",negative,negative,neutral,neutral,neutral,neutral,negative,neutral
"আজ মে সাব কি সামনে বহত আচ্ছা ইংলিশ বল পাতি হু
 By the time আমি এখন মানুষের সামনে confidence নিয়ে কথা বলতে পারি Today, I pushed myself to new heights by conquering a fear that'sবছরের পর বছর ধরে আটকে রেখেছে।
  आज, मैंने खुद को साबित कर दिया कि मैं अपने मन में जो कुछ भी ठान लूं, उसे हासिल करने में सक्षम हूं, फिर चाहे वह कितना भी कठिन या डरावना क्यों न लगे। akti vhoy joy korar jonno ami nijeke niye khub gorbito ja amake atodin dhore atke rek",positive,positive,positive,positive,neutral,positive,neutral,positive
